,pmt,x,y
0,0.0,0.0,0.0
1,1.0,44.881148,-3.5173926e-15
2,2.0,22.440574,38.868214
3,3.0,-22.440574,38.868214
4,4.0,-44.881148,3.055759e-15
5,5.0,-22.440574,-38.868214
6,6.0,22.440574,-38.868214
7,7.0,89.452169,4.2789218e-15
8,8.0,67.138535,38.762451
9,9.0,44.726084,77.46785
10,10.0,1.0170665e-14,77.524902
11,11.0,-44.726084,77.46785
12,12.0,-67.138535,38.762451
13,13.0,-89.452169,-2.7224993e-15
14,14.0,-67.138535,-38.762451
15,15.0,-44.726084,-77.46785
16,16.0,4.7317134e-15,-77.524902
17,17.0,44.726084,-77.46785
18,18.0,67.138535,-38.762451
19,19.0,133.3602,1.0966079e-14
20,20.0,111.34905,38.66884
21,21.0,89.162721,77.096682
22,22.0,66.6801,115.49332
23,23.0,22.186325,115.76552
24,24.0,-22.186325,115.76552
25,25.0,-66.6801,115.49332
26,26.0,-89.162721,77.096682
27,27.0,-111.34905,38.66884
28,28.0,-133.3602,1.8474512e-15
29,29.0,-111.34905,-38.66884
30,30.0,-89.162721,-77.096682
31,31.0,-66.6801,-115.49332
32,32.0,-22.186325,-115.76552
33,33.0,22.186325,-115.76552
34,34.0,66.6801,-115.49332
35,35.0,89.162721,-77.096682
36,36.0,111.34905,-38.66884
37,37.0,176.30956,-7.3207039e-16
38,38.0,154.73908,38.314064
39,39.0,132.96734,76.768729
40,40.0,110.55049,114.85094
41,41.0,88.154778,152.68855
42,42.0,44.188586,153.16501
43,43.0,1.4747591e-14,153.53746
44,44.0,-44.188586,153.16501
45,45.0,-88.154778,152.68855
46,46.0,-110.55049,114.85094
47,47.0,-132.96734,76.768729
48,48.0,-154.73908,38.314064
49,49.0,-176.30956,-2.477784e-15
50,50.0,-154.73908,-38.314064
51,51.0,-132.96734,-76.768729
52,52.0,-110.55049,-114.85094
53,53.0,-88.154778,-152.68855
54,54.0,-44.188586,-153.16501
55,55.0,1.3258391e-14,-153.53746
56,56.0,44.188586,-153.16501
57,57.0,88.154778,-152.68855
58,58.0,110.55049,-114.85094
59,59.0,132.96734,-76.768729
60,60.0,154.73908,-38.314064
61,61.0,218.08759,-3.0297766e-15
62,62.0,196.96336,37.800657
63,63.0,175.80724,76.130058
64,64.0,153.83418,114.18851
65,65.0,131.21801,151.67495
66,66.0,109.04379,188.86939
67,67.0,65.745352,189.47561
68,68.0,21.973055,190.31856
69,69.0,-21.973055,190.31856
70,70.0,-65.745352,189.47561
71,71.0,-109.04379,188.86939
72,72.0,-131.21801,151.67495
73,73.0,-153.83418,114.18851
74,74.0,-175.80724,76.130058
75,75.0,-196.96336,37.800657
76,76.0,-218.08759,-2.9104706e-15
77,77.0,-196.96336,-37.800657
78,78.0,-175.80724,-76.130058
79,79.0,-153.83418,-114.18851
80,80.0,-131.21801,-151.67495
81,81.0,-109.04379,-188.86939
82,82.0,-65.745352,-189.47561
83,83.0,-21.973055,-190.31856
84,84.0,21.973055,-190.31856
85,85.0,65.745352,-189.47561
86,86.0,109.04379,-188.86939
87,87.0,131.21801,-151.67495
88,88.0,153.83418,-114.18851
89,89.0,175.80724,-76.130058
90,90.0,196.96336,-37.800657
91,91.0,217.43597,74.630435
92,92.0,195.6849,112.97873
93,93.0,173.34984,150.98985
94,94.0,44.086131,225.62029
95,95.0,-4.3240916e-15,225.95746
96,96.0,-44.086131,225.62029
97,97.0,-173.34984,150.98985
98,98.0,-195.6849,112.97873
99,99.0,-217.43597,74.630435
100,100.0,-217.43597,-74.630435
101,101.0,-195.6849,-112.97873
102,102.0,-173.34984,-150.98985
103,103.0,-44.086131,-225.62029
104,104.0,1.1818016e-14,-225.95746
105,105.0,44.086131,-225.62029
106,106.0,173.34984,-150.98985
107,107.0,195.6849,-112.97873
108,108.0,217.43597,-74.630435
